401 2025-06-26T20:15:12.078Z POST /api/auth/login  http://localhost:5001/api/docs/ application/json; charset=utf-8
404 2025-06-29T23:43:57.928Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:46:22.570Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:46:25.187Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:48:40.651Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:49:24.084Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:49:27.284Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:49:30.495Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:49:44.979Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:49:46.063Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:16.775Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:23.510Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:25.656Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:25.996Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:26.220Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:26.493Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:28.968Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:51:46.953Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:52:05.137Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:54:34.349Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:54:35.455Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:54:36.206Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:54:36.398Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:55:23.799Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:56:16.022Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:58:07.437Z GET /  - text/html; charset=utf-8
404 2025-06-29T23:59:35.137Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:00:49.075Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:02:13.399Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:02:52.316Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:11:22.838Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:11:28.668Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:11:28.687Z GET /favicon.ico  http://localhost:5001/api/auth/ text/html; charset=utf-8
404 2025-06-30T00:11:32.989Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:11:36.861Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:12:27.452Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:13:42.943Z GET /.well-known/appspecific/com.chrome.devtools.json  - text/html; charset=utf-8
304 2025-06-30T00:14:20.993Z GET /api/auth/  - -
404 2025-06-30T00:14:21.009Z GET /.well-known/appspecific/com.chrome.devtools.json  - text/html; charset=utf-8
404 2025-06-30T00:14:23.188Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:25:46.584Z GET /api/auth/  - application/json; charset=utf-8
304 2025-06-30T00:26:41.622Z GET /api/auth/  - -
200 2025-06-30T00:26:43.835Z GET /api/auth  - application/json; charset=utf-8
304 2025-06-30T00:26:46.850Z GET /api/auth  - -
304 2025-06-30T00:27:15.626Z GET /api/auth  - -
304 2025-06-30T00:27:25.025Z GET /api/auth  - -
304 2025-06-30T00:27:26.150Z GET /api/auth  - -
304 2025-06-30T00:27:26.523Z GET /api/auth  - -
404 2025-06-30T00:27:29.413Z GET /api/auth2  - text/html; charset=utf-8
200 2025-06-30T00:27:41.951Z GET /api/auth/  - application/json; charset=utf-8
200 2025-06-30T00:28:55.910Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:31:37.965Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:32:08.748Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:33:36.006Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:33:36.865Z GET /  - text/html; charset=utf-8
404 2025-06-30T00:35:02.681Z GET /api/auth/auth  - text/html; charset=utf-8
200 2025-06-30T00:35:18.417Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:35:33.164Z GET /api/auth/auth  - text/html; charset=utf-8
200 2025-06-30T00:35:44.437Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:35:49.707Z GET /api/auth/rr  - text/html; charset=utf-8
404 2025-06-30T00:36:22.011Z GET /rr  - text/html; charset=utf-8
404 2025-06-30T00:36:28.415Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:37:26.794Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:38:03.493Z GET /api/auth/api/auth/  - text/html; charset=utf-8
200 2025-06-30T00:38:13.947Z GET /api/auth/  - application/json; charset=utf-8
404 2025-06-30T00:44:55.834Z GET /  - text/html; charset=utf-8
200 2025-06-30T00:45:28.978Z GET /api/auth/  - application/json; charset=utf-8
304 2025-06-30T00:55:14.022Z GET /api/auth/  - -
